label,key,description,condition,category,technique,track_type,organism,strain,first_author,pubmed_id
linde_gsno_2_density,Linde & Duggan Nitrosative Stress (rep 2) Density,"Read density, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_3_alignments,Linde & Duggan Nitrosative Stress (rep 3) Alignments,"Aligned strand-specific, paired-end reads, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_3_coverage,Linde & Duggan Nitrosative Stress (rep 3) Coverage,"Read coverage, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_gsno_3_density,Linde & Duggan Nitrosative Stress (rep 3) Density,"Read density, nitrosative stress (YPD + GSNO)",Nitrosative Stress,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_1_alignments,Linde & Duggan pH 4 (rep 1) Alignments,"Aligned strand-specific, paired-end reads, pH 4",pH 4,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_1_coverage,Linde & Duggan pH 4 (rep 1) Coverage,"Read coverage, pH 4",pH 4,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_1_density,Linde & Duggan pH 4 (rep 1) Density,"Read density, pH 4",pH 4,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_2_alignments,Linde & Duggan pH 4 (rep 2) Alignments,"Aligned strand-specific, paired-end reads, pH 4",pH 4,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_2_coverage,Linde & Duggan pH 4 (rep 2) Coverage,"Read coverage, pH 4",pH 4,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_2_density,Linde & Duggan pH 4 (rep 2) Density,"Read density, pH 4",pH 4,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_3_alignments,Linde & Duggan pH 4 (rep 3) Alignments,"Aligned strand-specific, paired-end reads, pH 4",pH 4,Gene Expression,RNA-Seq,Aligned reads,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_3_coverage,Linde & Duggan pH 4 (rep 3) Coverage,"Read coverage, pH 4",pH 4,Gene Expression,RNA-Seq,Coverage plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
linde_ph4_3_density,Linde & Duggan pH 4 (rep 3) Density,"Read density, pH 4",pH 4,Gene Expression,RNA-Seq,Density plot,C. glabrata,CBS138,Linde & Duggan,25586221
,,,,,,,,,,
